Topic,Count,Name,Representation,Representative_Docs
-1,440,-1_gunung_pos_puncak_jalur,"['gunung', 'pos', 'puncak', 'jalur', 'via', 'mountain', 'pendakian', 'air', 'rumah', 'mendaki']","['gunung gunung api bertipe stratovolcano pulau jawa indonesia gunung ruang lingkup taman nasional salah taman nasional kali diumumkan indonesia ketingian', 'highest peak west java diferent routes chose diferent levelof dificulties make sure bring enough water water scarce near peak route even water available base camp watch rainy season rain wil make journey dificult almost imposible get terain', 'pos pendakian puncak']"
0,67,0_mt_mdpl_semi_trek,"['mt', 'mdpl', 'semi', 'trek', 'semoga', 'teman', 'sept', 'sih', 'ya', 'alifdatebuwa']","['kh hu khng qu lnh mt', 'mt mdpl', 'mt mdpl']"
1,62,1_zaky_curug_bisik_raga,"['zaky', 'curug', 'bisik', 'raga', 'mantul', 'hati', 'warga', 'deket', 'mending', 'pemancar']","['olah raga jiwa raga', 'curug limbangan curug lombang', 'zaky zaky zaky']"
2,54,2_place_god_visit_must,"['place', 'god', 'visit', 'must', 'suitable', 'spot', 'family', 'hiker', 'take', 'best']","['god place god track', 'god place god mountain', 'god place visit']"
3,46,3_gunung_pendakian_mendaki_via,"['gunung', 'pendakian', 'mendaki', 'via', 'palutungan', 'jalur', 'lingarjati', 'pos', 'mountain', 'pendaki']","['bisan mendaki gunung jalur palutungan lingarjati apuy', 'jalur pendakian gunung via cibodas', 'pos pendakian gunung via apuy']"
4,44,4_gunung_bogor_menyimpan_kaki,"['gunung', 'bogor', 'menyimpan', 'kaki', 'mdpl', 'kenangan', 'bekas', 'aktip', 'tersisa', 'potongan']","['kaki gunung', 'kaki gunung', 'gunung bogor']"
5,43,5_camping_camp_kandang_basecamp,"['camping', 'camp', 'kandang', 'basecamp', 'ground', 'gunung', 'toilet', 'mountain', 'badak', 'base']","['awesome mountain last time im visiting mountain im reach top mountain via pemancar base camp go bayongbong base camp newbie hiker mountain wil chalenge wel haha bayongbong base camp rather hard climb beter pemancar base camp remember safety first', 'actual shelter area perhaps already fel hikers climbers usualy use area camping ground continue trip top especialy couldnt get kandang badak post kandang batu quite close kandang badak', 'camp ground pos pendakian gunung toilet mushola']"
6,42,6_surya_kencana_alun_sunrise,"['surya', 'kencana', 'alun', 'sunrise', 'pagi', 'besoknya', 'zonsopgang', 'bunga', 'sunset', 'great']","['alun alun surya kencana pos puncak', 'alun surya kencana gunung', 'alun surya kencana']"
7,41,7_camp_basecamp_ground_camping,"['camp', 'basecamp', 'ground', 'camping', 'sumit', 'tenda', 'post', 'mt', 'pos', 'base']","['pos jalur tapak geurot camping ground', 'camp sumit', 'camp ground go sumit mt']"
8,40,8_mount_park_national_natural,"['mount', 'park', 'national', 'natural', 'around', 'hours', 'area', 'gedepangrango', 'route', 'pos']","['mount located west java active stratovolcano renowned beautiful landscapes geothermal activity elevation meters sea level acesible trekers various skil levels making popular destination beginers seasoned hikers volcanos recent eruptions frequent activity ad mystique making fascinating place explore hike sumit takes variety terains including lush forests rocky paths stuning alpine meadows one highlights geothermal areas visitors witnes natural beauty fumaroles hot springs bubling mud pols sulfurous smel steam rising ground create otherworldly atmosphere ofering rare glimpse earths iner workings sumit trekers rewarded panoramic views surounding landscape including vast crater lush valeys distant mountains crater ocasionaly releases volcanic gas sight behold reminder volcanos active status interested photography geology various landscapes including famous tegal alun meadows provide perfect oportunities capture beauty uniquenes active volcano one acesible features mount welmaintained trails include short route leading crater area makes excelent choice day hikes area also home rich biodiversity including various species plants wildlife making ideal nature lovers ecotourism enthusiasts overal mount unique blend natural beauty geothermal wonders volcanic activity ofering rewarding experience seking adventure educational encounter one indonesias fascinating active volcanoes', 'mount volcano located west java mount altitude meters sea level located border bogor cianjur sukabumi regencies surounding natural conditions stil beautiful making many types flora fauna take shelter mountain mount included mount national park area one first five national parks indonesia want try climbing mount ged use thre paths aces mountain use cibodas route gunung putri route cipanas selabintana route sukabumi east mount surya kencana square square meadow doted beautiful edelweis plants telaga biru tourist visit around mount beauty lake reflected bluish color water blue color water caused large amount blue algae around lake first climbers mount indonesians german man named cgc reinwardt managed conquer mount april mount gedepangrango entire national park area designated unesco biosphere reserve determination confirms natural beauty mountain inded extraordinary', 'gedepangrango volcanoes twin volcanoes administratively located regions namely bogor regency cianjur regency sukabumi regency west java province part hundreds volcano exists indonesia ring fire lines formed milion years ago colision two major plates caled eurasian indoaustralian curently stil active volcano become dormant volcano icon volcanoes lies ultimately beautiful landscape wide square caled suryakencana mandalawangi ful edelweis flower anaphalis javanica ancient sundanese kingdom era gedepangrango considered sacred place sundanese related legend sundanese land sundanese brother javanese balinese beliefs mountains caled place spirit ancestors reside thus worshiped famous man caled bujanga manik sundanese kingdom journey acros javabali island mention twin volcanoes bukit ageung hulu wano na pakuan sundanese meaning mighty mount highest peak land pakuan dutch colonisation era dutch east indies government set area around gedepangrango fulfil economical environmental interests economical interest shown designated fertile lands surounding become agricultural plantation developed reach area ciawi cikopo environmental shown designated area around cibodascimungkad become first center conservation area botanical research indonesia establishing botanical garden seting natural reserve indonesian independency era indonesian government continue preservation efort area around gedepangrango seting gedepangrango biosphere reserve gedepangrango national park nobled oldest biosphere reserve national park indonesia hiking gedepangrango volcanoes peak masl peak lies masl acesed comon hikingroutes namely cibodas ciputri cianjur regency via selabintana sukabumi regency hikingtime rate cibodas ciputri range hours selabintana range hours depending pace']"
