Topic,Count,Name,Representation,Representative_Docs
-1,2597,-1_camping_camp_pemandangan_gunung,"['camping', 'camp', 'pemandangan', 'gunung', 'warung', 'pos', 'jam', 'air', 'puncak', 'jalur']","['pemandangan alam bagus gunung cocok pendaki pemula', 'kamis juli kali berkunjung twa berubah singkat cerita kali keluarga berencana menikmati memperkenalkan mengedukasi twa rencana membawa carier camp pondok salada berubah camp area camp basecamp terfikir dicapai tektok sat sehinga mengendong peralatan fasilitas basecamp lengkap terfikir membawa anak berangkat jakarta jam malam kaki gunung jam subuh berhenti masjid agung cisurupan istirahat sholat subuh masjid pasar tradisional ramai pagi membeli logistik sarapan jam berangkat basecamp tiketing buka jam pagi dibawah jam pagi kendaran dilarang masuk menungu gapura tiketing infonya fasilitas ruang tungu toilet akses harga tiket masuk lupa kisaran rporg tsb camp anak usia dibawah fre warung sat kamis jumat pagi sd sore malam buka toko penyewan alat outdor buka sd pagi tempatnya camp lumayan luas fasilitas lengkap mushola toilet bersih area camp airnya hangat akses jalan kaki bagus spot camp penerangan lampu taman pemandian air panas belerang harga tiket rp butuh efort membawa barang parkir', 'mengunjungi gunung juli mingun lebaran haji terletak kecamatan cisurupan lurus jalan langsung arah gunung khawatir informasi spanduk kawasan gunung masuk jalanya nanya orang dideskripsikan jalan raya ambil jalan lurusnya arah arah garut kota kecepatan kmjam nyampe jam disarankan isi bensin kendaran mengunakan kendaran pribadi garut kota motor isi bensin spbu pom bensin sanding pertamax pertalite premium pom bensin kendaran mengunakan elf minibus sat turun jalan raya kawasan gunungnya ojek harha ojeknya lumayan menguras budget jalan kawasan gunung melewati rumah warga jalanya bagus aspal mendekati kawasan gunung home stay menginap sat masuk gerbang utama langsung bayar tiket orang dihitung rp kendaran motor dihitung rp boncengan motor bayar rp pulang pergi ptektoktidak menginaptidak camp bayar dicek suhu tubuh petugasnya sekedar informasi warga lokal kabupaten garut salah pengunjung berencana ngecamp surat keterangan sehat berubah kebijakan pengelola cari tau ya pas kesana tiket gerbang dibukakan parkiran parkir motor bayar helm dititipkan penitipan helm mengunakan karcis pengambilan helm sat pulangnya ilang karcisnya sat perjalanan beristitahat saungsaung camping ground pondok saladah mushola toilet air melimpah sat musim kemarau airnya dingin asli deh bong warungwarung harganya masuk akal jalan hutan mati perjalanan santai lumayan istirahat jalan hutan mati tanga konsekuensi panas terik langsung matahari jalur terbuka tertutup vegetasi jalur hutan terbaik jalur normal jalur terjal hutan mati hutan jalur normal melewati sungai sempet fotofoto disanan selamat oh iya seriap poswarungmushola penjaganya stand disana ngecamp tektok ya tingal wcnya bersih musholanya nyaman taman edelweis taman bermain menara pandang parkiran luas motor mobil tokowarung makan tempar menjual merchandise sayang pandemi tutup semoga pandeminya cepet']"
0,332,0_mantap_seru_kangen_treknya,"['mantap', 'seru', 'kangen', 'treknya', 'rindu', 'penat', 'alah', 'masyalah', 'pengen', 'candu']","['treknya mantap', 'mantap treknya', 'mantap banget']"
1,248,1_gunung_indah_mountain_pemandangan,"['gunung', 'indah', 'mountain', 'pemandangan', 'keindahan', 'mendaki', 'merasakan', 'alam', 'pesona', 'gunungnya']","['gunung pemandangan bagus indah', 'pemandangan gunung indah', 'pemandangan gunung indah']"
2,208,2_gunung_yok_keturutan_mantap,"['gunung', 'yok', 'keturutan', 'mantap', 'umat', 'tertingi', 'puncak', 'garut', 'puji', 'gunungnya']","['yok yok puji tuhan keturutan mendaki gunung', 'yok yok puji tuhan keturutan mendaki gunung', 'yok yok puji tuhan keturutan mendaki gunung']"
3,124,3_indah_cantik_keindahan_indahnya,"['indah', 'cantik', 'keindahan', 'indahnya', 'hakiki', 'beautiful', 'menjamah', 'rasakan', 'saking', 'keindahanya']","['indah banget', 'indah banget', 'indah indah']"
4,102,4_kabupaten_kawah_kawasan_memiliki,"['kabupaten', 'kawah', 'kawasan', 'memiliki', 'nasional', 'gunung', 'jawa', 'taman', 'wilayah', 'terletak']","['gunung ceremai seringkali salah kaprah dinamakan aksara sunda baku latin gunung cerem gunung berapi kerucut administratif wilayah kabupaten kabupaten kuningan kabupaten majalengka provinsi jawa barat posisi geografis puncaknya terletak ls bt ketingian permukan laut gunung gunung tertingi jawa barat gunung gunung ceremai arah cigugur kuningan titik tertingi ketingian ft puncak ft masuk daftar ultra ribu kordinat e e geografi gunung jawa barat indonesia geologi jenis gunung stratovolcano letusan maret pendakian rute termudah palutungan rute normal apuy lingarjati lingasana gunung ceremai jalan tol cikopopalimanan arah cirebon gunung ceremai desa loji kecamatan jatiwangi kabupaten majalengka careme abad foto koleksi tropenmuseum amsterdam gunung memiliki kawah ganda kawah barat beradius terpotong kawah timur beradius ketingian dpl lereng selatan bekas titik letusan dinamakan gowa walet ceremai kawasan taman nasional gunung tngc memiliki luas total hektare nama gunung berasal cereme phylanthus acidus sejenis tumbuhan perdu berbuah rada masam seringkali gejala hiperkorek akibat banyaknya nama wilayah pasundan mengunakan awalan ci penaman', 'gunung gunung sapto argo kompleks gunung berapi terletak selatan jakarta pulau jawa kawasan rangkaian gunung wilayah kabupaten sukabumi kabupaten bogor jawa barat pengelolan kawasan hutanya perum perhutani kesatuan pemangkuan hutan kph bogor wilayah perluasan taman nasional gunung halimun dikelola taman nasional gunung halimunsalak gunung berusia relatif tua sehinga memiliki puncak geoposisi puncak tertingi gunung ls bt dinamakan puncak ketingian puncak permukan laut dpl nama tanaman sesunguhnya berasal bahasa sanskerta salaka perak gunung gunung api strato tipe puncak tertingi puncak hartman puncak berusia tertua puncak berketingian dpl diangap tertua muncul puncak sumbul ketingian dpl kawah aktif puncak kawah terbesar kawah ratu kawah termuda kawah cikuluwung putri kawah hirup sistem kawah ratu semenjak tercatat kali letusan rangkaian letusan letusan erupsi freatik kawah cikuluwung putri catatan pvmbg erupsi terbesar bersifat erupsi magmatis bersifat merusak catatan korban morfologi gunung memiliki jurang curam tubuh gunung puncak tertutup hutan lebat kontur gunung mudah kali menipu pendaki penerbang melewati kawasan pegunungan', 'gunung memiliki kawah ganda kawah barat beradius terpotong kawah timur beradius ketingian dpl lereng selatan bekas titik letusan dinamakan gowa walet ceremai kawasan taman nasional gunung tngc memiliki luas total hektare administratif wilayah kabupaten kabupaten kuningan kabupaten majalengka provinsi jawa barat posisi geografis puncaknya terletak ls bt ketingian permukan laut gunung gunung tertingi jawa barat']"
5,96,5_hutan_mati_matinya_forest,"['hutan', 'mati', 'matinya', 'forest', 'lumut', 'dead', 'hutanya', 'lembab', 'vegetasi', 'babi']","['hutan mati pemandanganya indah', 'hutan mati keren banget', 'hutan mati keren']"
6,88,6_keluarga_family_liburan_cocok,"['keluarga', 'family', 'liburan', 'cocok', 'rekreasi', 'bareng', 'wisata', 'kemping', 'bokap', 'kerabat']","['cocok pendaki pemula keluarga', 'bagus keluarga', 'cocok keluarga']"
7,84,7_bersih_kebersihanya_kebersihan_jaga,"['bersih', 'kebersihanya', 'kebersihan', 'jaga', 'polusi', 'tempatnya', 'clean', 'sampah', 'pelayanan', 'nyaman']","['tempatnya bersih nyaman', 'bersih pemandangan bagus', 'bersih tempatnya']"
8,80,8_menyenangkan_lezat_memuaskan_suka,"['menyenangkan', 'lezat', 'memuaskan', 'suka', 'bahagia', 'menyenagkan', 'kenikmatan', 'makananya', 'welcome', 'refreshing']","['menyenangkan', 'menyenangkan', 'menyenangkan']"
