"city","countryCode","location/lat","location/lng","name","publishedAtDate","reviewContext/Can you share more about these topics?","reviewContext/Difficulty","reviewContext/Dog-friendliness","reviewContext/Fees","reviewContext/Parking","reviewContext/Parking options","reviewContext/Parking space","reviewContext/Picnic area","reviewContext/Playground","reviewContext/Public Transportation","reviewContext/Recommended activities","reviewContext/Restrooms","reviewContext/Route type","reviewContext/Time spent","reviewId","reviewUrl","reviewOrigin","reviewerId","stars","state","text","title","url"
"Cianjur Regency","ID","-6.7770239","106.9746474","Devan","2025-10-15T10:10:12.240Z",,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2tOWVNWOXNRMGd4VlVwaU1YZDJlVTFUZUVsb05XYxAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tOWVNWOXNRMGd4VlVwaU1YZDJlVTFUZUVsb05XYxAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CAIQACodChtycF9oOkNYSV9sQ0gxVUpiMXd2eU1TeEloNWc%7C0cvrB3DM9f2%7C?hl=en","Google","109847102451955317222","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","hari santoso","2025-09-08T00:33:34.761Z",,"Moderate",,,,,,,,,"Hiking",,"Not sure","4+ hr","Ci9DQUlRQUNvZENodHljRjlvT2tSMmFDMTBVMUV5YUMxNWExUmhlazQ0ZFZZMlduYxAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSMmFDMTBVMUV5YUMxNWExUmhlazQ0ZFZZMlduYxAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CAIQACodChtycF9oOkR2aC10U1EyaC15a1Rhek44dVY2Wnc%7C0cjXGThPcNG%7C?hl=en","Google","118050708449779371471","5","West Java","Suhu terdingin di jam 3 pagi sekitar 8 derajat celcius.","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Fahmy 30","2025-08-30T14:14:12.097Z",,"Moderate",,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT201aU5sSTNTWE0zUVdsbE1UTkhhV3MzT1cxQmFFRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201aU5sSTNTWE0zUVdsbE1UTkhhV3MzT1cxQmFFRRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CAIQACodChtycF9oOm5iNlI3SXM3QWllMTNHaWs3OW1BaEE%7C0cgkRo4mOUk%7C?hl=en","Google","105326433952889911968","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","M. Syuja Valdish Izaz","2025-05-15T12:29:20.691Z","Parking","Moderate",,,,"Paid parking lot","Plenty of parking",,,,"Hiking, Walking",,"Out-and-Back","4+ hr","ChdDSUhNMG9nS0VNLVJqcFRKMnJfbzd3RRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VNLVJqcFRKMnJfbzd3RRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEM-RjpTJ2r_o7wE%7CCgwIoLyXwQYQ4NvhyQI%7C?hl=en","Google","101769726882329144742","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Wahyu Nurrudin","2025-04-19T08:49:45.540Z",,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnTUNvdlpEc0l3EAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvdlpEc0l3EAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgMCovZDsIw%7CCgwIqceNwAYQuIvsgQI%7C?hl=en","Google","110545129741521510183","5","West Java","Mantaap","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Nasib Naspriadi","2025-03-29T12:31:40.508Z",,"Hard",,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnTUNJd0xlbWJREAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNJd0xlbWJREAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgMCIwLembQ%7CCgwIrNCfvwYQkM3C8gE%7C?hl=en","Google","106311645816138188304","5","West Java","Penuh perjuangan yg luar biasa bisa sampe di pos ini..","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Spei","2024-12-29T11:25:07.266Z",,"Moderate",,,,,,,,,"Hiking, Walking",,,"4+ hr","ChZDSUhNMG9nS0VJQ0FnSUNmM3NueEhnEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNmM3NueEhnEAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgICf3snxHg%7CCgsIk-PEuwYQgMSNfw%7C?hl=en","Google","103547185244109587496","5","West Java","Shadu","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Lutfiyah Hasinah iramani","2024-12-01T08:58:17.591Z","Parking","Moderate",,,,"Paid parking lot, Free street parking","Plenty of parking",,,,"Hiking",,"Out-and-Back","4+ hr","ChdDSUhNMG9nS0VJQ0FnSURQbXEtOXhnRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURQbXEtOXhnRRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIDPmq-9xgE%7CCgwIqcqwugYQiMnomQI%7C?hl=en","Google","109067703810170152302","5","West Java","Track dari awal lumayan landai ,ada warung untuk sekedar beli minum buah dan makanan ringan ,","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Didik Darmadi","2024-10-18T07:37:42.903Z",,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNYbWRyTnd3RRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNYbWRyTnd3RRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgICXmdrNwwE%7CCgwIxqDIuAYQ6PjZrgM%7C?hl=en","Google","111736341005237221486","5","West Java","Pos camp favorit via jalur Cibodas. Bisa mengakses ke Puncak Gede dan Puncak Pangrango.

Ada wc dan mushola, ada sajadah dan mukenanya juga. Sayang mushola sudah tdk terawat, sajadah banyak yg basah dan lembab. Wc juga kondisinya agak rusak.","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Aang Bazred","2024-10-10T09:28:13.800Z",,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSURubTRDRGRnEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURubTRDRGRnEAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIDnm4CDdg%7CCgwIrbyeuAYQqMrA_QI%7C?hl=en","Google","104497160653654430467","4","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
