"city","countryCode","location/lat","location/lng","name","publishedAtDate","reviewContext/Aktivitas yang direkomendasikan","reviewContext/Area piknik","reviewContext/Biaya","reviewContext/Jenis rute","reviewContext/Kesesuaian untuk anjing","reviewContext/Kesulitan","reviewContext/Opsi tempat parkir","reviewContext/Parkir","reviewContext/Sebaiknya buat reservasi","reviewContext/Tahukah Anda tentang topik ini?","reviewContext/Taman Bermain","reviewContext/Tempat parkir","reviewContext/Toilet","reviewContext/Transportasi Umum","reviewContext/Waktu antrean","reviewContext/Waktu kunjungan","reviewContext/Waktu yang dihabiskan","reviewId","reviewOrigin","reviewUrl","reviewerId","stars","state","text","title","url"
"Kabupaten Garut","ID","-7.325772","107.7245984","haryo wibhisono","2025-08-31T06:48:01.830Z","Mendaki",,,"Keluar dan Kembali",,"Sulit",,,,,,,,,,,"1-2 jam","Ci9DQUlRQUNvZENodHljRjlvT2poTVRIZHNibVZpUTFOZk5FOU5lV2N0ZERsTE1FRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2poTVRIZHNibVZpUTFOZk5FOU5lV2N0ZERsTE1FRRAB!2m1!1s0x0:0xefaeb56916a4bc0a!3m1!1s2@1:CAIQACodChtycF9oOjhMTHdsbmViQ1NfNE9NeWctdDlLMEE%7C0cgz-WlVnFz%7C?hl=id","110970904687894392462","5","Jawa Barat","Kesini didampingi oleh guide, jalan track nya lebih terjal dan ketika habis hujan beberapa titik sedikit berlumpur dan licin, harus selalu berhati hati dan siapkan stamina. Hamparan bunga edelweiss nya banyak dan masih asri, diharapkan untuk menjaga area yang masih asri ini.","Tegal Alun","https://www.google.com/maps/search/?api=1&query=Tegal%20Alun&query_place_id=ChIJL9aRepijaC4RCrykFmm1ru8"
"Kabupaten Garut","ID","-7.325772","107.7245984","Rully Hiking Stories","2025-06-08T15:29:55.704Z","Mendaki, Jalan kaki",,,"Berulang",,"Sedang",,,,,,,,,,,"4+ jam","Ci9DQUlRQUNvZENodHljRjlvT21aR2VHczRSVFZmWWtoeU1UVnJhRjl5UWxSMFRsRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21aR2VHczRSVFZmWWtoeU1UVnJhRjl5UWxSMFRsRRAB!2m1!1s0x0:0xefaeb56916a4bc0a!3m1!1s2@1:CAIQACodChtycF9oOmZGeGs4RTVfYkhyMTVraF9yQlR0TlE%7C0cGPlndy7El%7C?hl=id","117819275991129363706","5","Jawa Barat","Lokasi terlarang, jadi cukup sampai sini aja","Tegal Alun","https://www.google.com/maps/search/?api=1&query=Tegal%20Alun&query_place_id=ChIJL9aRepijaC4RCrykFmm1ru8"
"Kabupaten Garut","ID","-7.325772","107.7245984","Rhmt hdyt","2024-09-11T18:08:17.841Z","Jalan kaki",,,"Keluar dan Kembali",,"Sedang",,,,"Parkir",,"Banyak tempat parkir",,,,,"1-2 jam","ChdDSUhNMG9nS0VJQ0FnSURIaU9pQ3d3RRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURIaU9pQ3d3RRAB!2m1!1s0x0:0xefaeb56916a4bc0a!3m1!1s2@1:CIHM0ogKEICAgIDHiOiCwwE%7CCgwIkbmHtwYQ0KSokQM%7C?hl=id","113124549863476262264","5","Jawa Barat","Saya mendapatkan banyak pengalaman di sini wkwkwk","Tegal Alun","https://www.google.com/maps/search/?api=1&query=Tegal%20Alun&query_place_id=ChIJL9aRepijaC4RCrykFmm1ru8"
"Kabupaten Garut","ID","-7.325772","107.7245984","dindin junaedi","2024-09-02T14:30:38.433Z","Mendaki",,,,,"Sedang",,,,,,,,,,,"2-3 jam","ChdDSUhNMG9nS0VJQ0FnSUNIdlBleV9BRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNIdlBleV9BRRAB!2m1!1s0x0:0xefaeb56916a4bc0a!3m1!1s2@1:CIHM0ogKEICAgICHvPey_AE%7CCgwIjpjXtgYQuM7IzgE%7C?hl=id","102031986712844792282","5","Jawa Barat",,"Tegal Alun","https://www.google.com/maps/search/?api=1&query=Tegal%20Alun&query_place_id=ChIJL9aRepijaC4RCrykFmm1ru8"
"Kabupaten Garut","ID","-7.325772","107.7245984","Alexander","2024-06-26T05:49:04.736Z",,,,,,"Sulit",,,,,,,,,,,"2-3 jam","ChdDSUhNMG9nS0VJQ0FnSURMM0x6cmd3RRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURMM0x6cmd3RRAB!2m1!1s0x0:0xefaeb56916a4bc0a!3m1!1s2@1:CIHM0ogKEICAgIDL3LzrgwE%7CCgwI0NfuswYQgM-E3wI%7C?hl=id","102026703120541458178","5","Jawa Barat",,"Tegal Alun","https://www.google.com/maps/search/?api=1&query=Tegal%20Alun&query_place_id=ChIJL9aRepijaC4RCrykFmm1ru8"
"Kabupaten Garut","ID","-7.325772","107.7245984","raul gasruk","2023-10-22T09:37:12.169Z","Mendaki",,,"Keluar dan Kembali",,"Sulit",,,,,,,,,,,"1-2 jam","ChdDSUhNMG9nS0VJQ0FnSUQ1OHVfQXlBRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1OHVfQXlBRRAB!2m1!1s0x0:0xefaeb56916a4bc0a!3m1!1s2@1:CIHM0ogKEICAgID58u_AyAE%7CCgsIyNrTqQYQ4MPmUA%7C?hl=id","108220947505516474666","5","Jawa Barat","Lokasi kesini masih belum banyak yang tahu. Karena dari hutan mati tidak ada petunjuknya untuk ke tempat ini. Ada satu lokasi kita akan mendaki cukup terjal dan harus sangat berhati-hati.
Padang edelweis nya sangat luas. Ingat jangan sampai dipetik ya, cukup dinikmati saja dan ambil foto","Tegal Alun","https://www.google.com/maps/search/?api=1&query=Tegal%20Alun&query_place_id=ChIJL9aRepijaC4RCrykFmm1ru8"
"Kabupaten Garut","ID","-7.325772","107.7245984","prfromaga","2023-06-05T03:44:53.530Z",,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUR4a3RxQnhRRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR4a3RxQnhRRRAB!2m1!1s0x0:0xefaeb56916a4bc0a!3m1!1s2@1:CIHM0ogKEICAgIDxktqBxQE%7CCgwItbT1owYQgLuN_QE%7C?hl=id","107983017801609516411","5","Jawa Barat","Ladang yang luas , nice place","Tegal Alun","https://www.google.com/maps/search/?api=1&query=Tegal%20Alun&query_place_id=ChIJL9aRepijaC4RCrykFmm1ru8"
"Kabupaten Garut","ID","-7.325772","107.7245984","Fajri Muttaqien","2023-04-25T12:17:56.173Z",,,,"Keluar dan Kembali",,"Sedang",,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSURSenBhRVh3EAE","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSenBhRVh3EAE!2m1!1s0x0:0xefaeb56916a4bc0a!3m1!1s2@1:CIHM0ogKEICAgIDRzpaEXw%7CCgsI9ImfogYQ6KbNUg%7C?hl=id","111383853376960563313","5","Jawa Barat","Hiking asyik","Tegal Alun","https://www.google.com/maps/search/?api=1&query=Tegal%20Alun&query_place_id=ChIJL9aRepijaC4RCrykFmm1ru8"
"Kabupaten Garut","ID","-7.325772","107.7245984","Muhammad Izzuddin","2023-01-31T13:15:52.562Z",,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSURCMTZINzd3RRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURCMTZINzd3RRAB!2m1!1s0x0:0xefaeb56916a4bc0a!3m1!1s2@1:CIHM0ogKEICAgIDB16H77wE%7CCgwIiKnkngYQ2NWTjAI%7C?hl=id","116282181622163347366","5","Jawa Barat",,"Tegal Alun","https://www.google.com/maps/search/?api=1&query=Tegal%20Alun&query_place_id=ChIJL9aRepijaC4RCrykFmm1ru8"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Agam Mahardi","2025-08-11T07:51:36.271Z",,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xkME9ERjJRblJaTkhoZmVqVm9TMnRTYW5WVU9FRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkME9ERjJRblJaTkhoZmVqVm9TMnRTYW5WVU9FRRAB!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CAIQACodChtycF9oOld0ODF2QnRZNHhfejVoS2tSanVUOEE%7C0caP37FBsCM%7C?hl=id","118276418468221860468","5","Jawa Barat","Sebenernya di parkiran bawah juga ada taman edelweis.","Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Dazzlin Buzzlin","2025-07-15T12:59:50.310Z",,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2tjelN6aGpXR05QWjBOSWRrTjRVV0p4ZEdKM1dXYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tjelN6aGpXR05QWjBOSWRrTjRVV0p4ZEdKM1dXYxAB!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CAIQACodChtycF9oOkczSzhjWGNPZ0NIdkN4UWJxdGJ3WWc%7C0cS_25HX-5j%7C?hl=id","115147195807027192792","4","Jawa Barat",,"Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Danu Ariwibowo","2025-05-21T16:18:03.696Z",,,,,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VPcm9sY1R6MzR2cU9REAE","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VPcm9sY1R6MzR2cU9REAE!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEOrolcTz34vqOQ%7CCgwIu_m3wQYQqJySzAI%7C?hl=id","109615654634577250658","5","Jawa Barat","Taman edelweis yang cantik dan indah....","Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Agung Berlian W","2025-04-04T23:58:47.142Z",,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnTUNJdTRYYnZ3RRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNJdTRYYnZ3RRAB!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEICAgMCIu4XbvwE%7CCgsIt-TBvwYQwK7gQw%7C?hl=id","103837235163756000240","5","Jawa Barat","Pengalaman tak terlupakan di pepohonan bunga Edelweis di Gunung Papandayana","Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","roy sunjaya","2025-03-30T09:01:30.550Z",,"Hiking dan piknik.. tapi ingat bawa turun sampah nya yaaa",,,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnTUNJaE5QWFVREAE","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNJaE5QWFVREAE!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEICAgMCIhNPXUQ%7CCgwI6pCkvwYQqOfOhgI%7C?hl=id","111190479128777837589","5","Jawa Barat","Indah banget.... Harus kesini minimal 1 x seumur hidup... Percaya dehhh","Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
