reviewId,nama_gunung,text,stars,name
Ci9DQUlRQUNvZENodHljRjlvT2poNVVrWkhaRTVrVkVwZlVUbERPSFZpWmw5NGQxRRAB,gunung ciremai,"14/10/2025 12.00 puncak ciremai.
terimakasih ciremai sudah mengizinkan kami menginjakan kaki dipuncak mu, kenangannya akan abadi bersama dengan orang terindah.",5,maesa putri
Ci9DQUlRQUNvZENodHljRjlvT214a2NsOXpYMGhPWWxwQlpqSmhSbVk1UlhwNVpWRRAB,gunung ciremai,Wahh bagus bet sih pemandangan nya tapi cape pegel waktu naek,5,Andika Febri
Ci9DQUlRQUNvZENodHljRjlvT2paTU5tNVVVMTlWV2xsaU0wbzNkeTFJV2pFM2EyYxAB,gunung ciremai,"Tempat yang sejuk, damai dan dipenuhi dengan keramah tamahan warga sekitar",5,Teguh Wahyudi
Ci9DQUlRQUNvZENodHljRjlvT21WaGNtSjJRVFpDTUhsNE5ETXdlVWswWmkxVk1VRRAB,gunung ciremai,,5,Husor Parlindungan
Ci9DQUlRQUNvZENodHljRjlvT21kRWJEVllSRkpIU25CaU5uZzVNRzFNUkd4eWVtYxAB,gunung ciremai,,5,Tegar Putra Ramdhani
Ci9DQUlRQUNvZENodHljRjlvT20xUGRFcHVlbUkzWkZObFVXSmlTazFMVXpkSVlWRRAB,gunung ciremai,,5,Iyen Cantik
Ci9DQUlRQUNvZENodHljRjlvT21OeVltNHpORUY2UjA5V2NWQm9kVkIwT1VkQmJVRRAB,gunung ciremai,Ngadem dg view yg memukau..,5,M. Sofwan
Ci9DQUlRQUNvZENodHljRjlvT2kxR1gzVjRhbTR6V20xUVowbG1lbVJPTlVOM09IYxAB,gunung ciremai,,5,ferdi chandra
Ci9DQUlRQUNvZENodHljRjlvT25oSmVtMWhPR3hRUjBSUk1qQnZiVlI2WDE5cmMxRRAB,gunung ciremai,"Entah kenapa pendakian ciremai ini berbeda , seakan-akan bukan perjalanan mendaki tetapi seperti pulang kerumah ❤️ . Terimakasih Ciremai sudah mengizinkan kita menapaki atapnya",5,Eddielawan Ginting
Ci9DQUlRQUNvZENodHljRjlvT2psUFkycHFNMHRxWVVaVE9VOWtXbEE0U2pGRlNFRRAB,gunung ciremai,,5,Rakha Pryandana
Ci9DQUlRQUNvZENodHljRjlvT2pkMGNrTmxlUzF3VVd4T1FVRlNMVEZ3YjNSRU1VRRAB,gunung ciremai,The best pokok nya,5,Angga Novadianto
Ci9DQUlRQUNvZENodHljRjlvT2kxb1NHSklZVUphYkdadmVrWlZVWEZOU1RGUmRVRRAB,gunung ciremai,Tekok deket dari rumah,5,Afiyah
Ci9DQUlRQUNvZENodHljRjlvT25Wdk5YY3hPVFEzWmpGelEyMUJlbWhPZGsxRE1FRRAB,gunung ciremai,,5,Hendra Hendriana
Ci9DQUlRQUNvZENodHljRjlvT210eWFIWjJXREpIWlc1TVdUVkJZVlprZDA5a1dGRRAB,gunung ciremai,Kereen view nya,5,Aan Ristiyani
Ci9DQUlRQUNvZENodHljRjlvT2tVd1VUWnZUMWRaZVZOck5qUnJVM1JrTFRCVmMxRRAB,gunung ciremai,"The breathtaking view of Mount Ciremai from the Hotel Santika Linggarjati is cool and great.
It's never boring to gaze at this mountain, it seems to beckon you to visit.
The crisp, fresh morning air creates a sacred and romantic atmosphere.",5,Iskandar Zulkarnain
Ci9DQUlRQUNvZENodHljRjlvT2pWMU5sbGZRamxrTWtkc2JFVkpRVUZ2VUdwVWRHYxAB,gunung ciremai,,5,Daniel Butarbutar
Ci9DQUlRQUNvZENodHljRjlvT2t4aGQwOHhaMkpwUWxkS05rNW5UbXh0ZW1wU2MxRRAB,gunung ciremai,"gunung ciremai via apuy, ranger nya banyak dan ramah"" jadi ga perlu takut, dari pos 5 k atas naik trs treknya mantap bgt deh",5,hiimdaa
Ci9DQUlRQUNvZENodHljRjlvT25WSFYyeHNabTg1V213emFIWmhTRlJwUzFSWWFIYxAB,gunung ciremai,,5,cicilia Tarisa
Ci9DQUlRQUNvZENodHljRjlvT21wZlRFNXFUMjFNZURrd1RuWXlTVGRrZW5WeE9FRRAB,gunung ciremai,,5,linda Wati
Ci9DQUlRQUNvZENodHljRjlvT2xKR05rWlZaR1JVUjNGTVZYSnpXSGRvUTA5d1QyYxAB,gunung ciremai,,5,Wahbiya
Ci9DQUlRQUNvZENodHljRjlvT25Oa2NVRlJNMGhKYW5SeGVWVmFhRjl2ZERVeGMyYxAB,gunung ciremai,Alam dan hukum alam,5,Warsun Abah Udin Pasar Genjing
Ci9DQUlRQUNvZENodHljRjlvT21WblVGRnpTMGhSY1RSbGJrUlRhVXRWU0UxVVFVRRAB,gunung ciremai,,5,ARIES RIZAL MAULANA
Ci9DQUlRQUNvZENodHljRjlvT2pOc1ZreG1RemMyWWxGV1kyMHlUelJxUW01MGFtYxAB,gunung ciremai,,5,Anis Nisrina Melviana
Ci9DQUlRQUNvZENodHljRjlvT213eVRubENiVmhUTFdKclpUaE5RbkI1UkdNNVJVRRAB,gunung ciremai,,5,J Forever
Ci9DQUlRQUNvZENodHljRjlvT2xKeWJ6bG9hVlpHZVhkbVlrSmFRMVp5WTNWWlpXYxAB,gunung ciremai,Ok,5,Muya del Agustin
Ci9DQUlRQUNvZENodHljRjlvT21OMFVqUkdUMmcwZDNGa1IwbFNhRlpxWVhaNE1sRRAB,gunung ciremai,,5,pecinta Al habib muhammad bagir bin idrus alaydrus
Ci9DQUlRQUNvZENodHljRjlvT2xacGNrNWlRbWh0T1VweFFXRm5ZM055VWpKdllWRRAB,gunung ciremai,"Toko wijaya niaga terbaik.
Pengiriman cepat.",5,Nasuha Rossi
Ci9DQUlRQUNvZENodHljRjlvT21aYU1FOXlWV3g2TTA1dVJVTmxjMlJvYlVzMWEyYxAB,gunung ciremai,,5,Ibah Misbah
Ci9DQUlRQUNvZENodHljRjlvT2prek9YRjJNbHB0VjFKNFJXSlJOaTFHUjNJNWJWRRAB,gunung ciremai,,5,Belina Otten
Ci9DQUlRQUNvZENodHljRjlvT21zMFFUSmxiVzFvUzAwMFMwOXZZa05NWDNkRFpsRRAB,gunung ciremai,"Sangat indah, aman bagus untuk wisata keluarga, tpi hati2 jalan menuju lokasi berkelok",5,M. Guan Disembri
Ci9DQUlRQUNvZENodHljRjlvT2t0SE0wdFpWWEZKWjBvME5FTk5SV3B0WkhGZmNWRRAB,gunung ciremai,,5,Bayu Picandra S Kom
Ci9DQUlRQUNvZENodHljRjlvT2xVM01scFlja054ZFZCRk5FNHhRMHg1ZUZaVmJYYxAB,gunung ciremai,,5,Dwi Resmianingsih
Ci9DQUlRQUNvZENodHljRjlvT2poM2VGbHlVV0p3V21SSmJtTndNMjg1TmtSdFFWRRAB,gunung ciremai,"Sungguh luar biasa wisata ini dengan view gunung ciremai,dan suasana alam segarr",5,Ridzwan Nurarifiansyah
Ci9DQUlRQUNvZENodHljRjlvT2kxbVMyeFBXbWR3TWpsRGNUY3RNRTFyZVdWbVRWRRAB,gunung ciremai,bestest view ever!,5,Siti Radinta Al Aishya
Ci9DQUlRQUNvZENodHljRjlvT25GdlZ6QmplR28wZFdZNGNtcEdWR1JvYjFoemRYYxAB,gunung ciremai,,5,Natasya Aulya
Ci9DQUlRQUNvZENodHljRjlvT2tGM1RtSm1ZVlk0YUdrdFVraGZhRVEwZG1JemNWRRAB,gunung ciremai,,5,Awin Awin
Ci9DQUlRQUNvZENodHljRjlvT2xWV1YxbElNRzFHUjJoeFNVcG5hazlyZFZVME9HYxAB,gunung ciremai,,5,Lola Febria
Ci9DQUlRQUNvZENodHljRjlvT2twUFl6UTVOVlZqY0VKWGFVeHlUMlV5VlVWVlpXYxAB,gunung ciremai,,5,Lilis Lisdayanti
Ci9DQUlRQUNvZENodHljRjlvT2pZMVVXMHpOVFp0VEZWTWRHOXphVGN6YkRsM2JGRRAB,gunung ciremai,,5,Man Tax
Ci9DQUlRQUNvZENodHljRjlvT2xGcmJuTm1UbE01YkRGa1QwRTFUbWh1UWkxRFUyYxAB,gunung ciremai,,5,Calvin
Ci9DQUlRQUNvZENodHljRjlvT2w5cVNFaFlVRVZXVFhsRVJXMTVhMHBHU1MwMmMwRRAB,gunung ciremai,Lama buruk parah kesorean,1,Buyung Febri ardiyanto
Ci9DQUlRQUNvZENodHljRjlvT2xoc01VMXdWMXBHTVRCNVNHVkRibkJGVFdsa2IyYxAB,gunung ciremai,,5,iing irwanto
Ci9DQUlRQUNvZENodHljRjlvT2pCMFpEVnFXSGg0Ym5kaE5EZFRjM3BVWldWbGVVRRAB,gunung ciremai,Kerenlah,5,Heri79 17
Ci9DQUlRQUNvZENodHljRjlvT2pZd2FHeENibnBZYzE5ZmNVZDBRMnBPYUdsWWJIYxAB,gunung ciremai,Suasana nyaman sejuk dan sedingin es...masih alami dengan pemandangan kebun dan pegunungan yang memanjakan mata,5,Alim Nurokhman
Ci9DQUlRQUNvZENodHljRjlvT2tGT05ITjFXazFsVFZnMVZGcDNlVVJ0ZEVWb1IzYxAB,gunung ciremai,Gunung indah,5,Ahmad Sirozudin
Ci9DQUlRQUNvZENodHljRjlvT25WSmNWbERhVFowVFVacWJDMXdiRkpmWVdWQlRuYxAB,gunung ciremai,seru,5,Lutfi Gaisyar
